Community,Group,Estimated_Growth_2015-2035,Being_Built,Total_Units_2015,Units_Built_2016-2019,Total_Units_2019
Belltown,Downtown,3332,627,11496,1753,13249
Denny Triangle,Downtown,3364,2637,4817,1612,6429
Commercial Core,Downtown,1313,516,3896,914,4810
Pioneer Square,Downtown,363,79,1562,152,1714
Chinatown-International District,Downtown,3628,722,2574,834,3408
Capital hill,First Hill / Capital Hill,1755,1139,14978,713,15691
Pike/Pine,First Hill / Capital Hill,848,209,5036,1413,6449
First Hill,First Hill / Capital Hill,2878,2279,7064,1259,8323
12th Avenue,First Hill / Capital Hill,519,209,2367,502,2869
Ravenna,University District ,1237,268,1621,86,1707
University Campus,University District ,0,0,500,-1,499
University District Northwest,University District ,2263,841,7830,1164,8994
Northgate,Urban Centers,3000,136,4535,249,4784
South Lake Union,Urban Centers,7500,1419,4537,4990,9527
Uptown,Urban Centers,3000,768,7557,703,8260
Ballard,Hub Urban Villages,4000,486,9881,1520,11401
Bitter Lake Village,Hub Urban Villages,1400,122,3388,181,3569
Fremont,Hub Urban Villages,1300,223,3199,535,3734
Lake City,Hub Urban Villages,1000,21,2570,345,2915
Mt Baker,Hub Urban Villages,1000,649,2586,381,2967
West Seattle Junction,Hub Urban Villages,2700,346,4430,1127,5557
23rd & Union-Jackson,Residential Urban Villages,1800,881,5838,1132,6970
Admiral,Residential Urban Villages,300,112,1134,161,1295
Aurora-Licton Springs,Residential Urban Villages,1000,290,3455,262,3717
Columbia City,Residential Urban Villages,900,491,2933,565,3498
Crown Hill,Residential Urban Villages,1100,145,2104,205,2309
Eastlake,Residential Urban Villages,800,133,3833,400,4233
Green Lake,Residential Urban Villages,600,155,2605,247,2852
Greenwood-Phinney Ridge,Residential Urban Villages,500,321,1760,145,1905
Madison-Miller,Residential Urban Villages,800,107,2781,707,3488
Morgan Junction,Residential Urban Villages,400,39,1347,42,1389
North Beacon Hill,Residential Urban Villages,800,165,2503,256,2759
Othello,Residential Urban Villages,1000,154,3473,474,3947
Rainier Beach,Residential Urban Villages,500,60,1672,59,1731
Roosevelt,Residential Urban Villages,900,770,1720,966,2686
South Park,Residential Urban Villages,400,47,1292,23,1315
Upper Queen Anne,Residential Urban Villages,500,7,1723,1,1724
Wallingford,Residential Urban Villages,1000,268,3269,127,3396
Westwood-Highland Park,Residential Urban Villages,600,165,2154,33,2187
Ballard-Interbay-Northend,Manufacturing Industrial Centers,0,0,660,-3,657
Greater Duwamish,Manufacturing Industrial Centers,0,1,405,-10,395
